fact_key,date_key,fund_key,distributor_key,region_key,rm_key,opening_aum_eur,closing_aum_eur,avg_aum_eur,target_aum_eur,gross_subscriptions_eur,gross_redemptions_eur,net_subscriptions_eur,market_movement_eur,management_fee_bps,fee_revenue_eur,created_at
11,20241130,1,1,1,1,100830901.870000005,103759624.239999995,102295263.049999997,101365673.030000001,3617577.88,2751675,865902.88,2062819.49,165,140655.99,2026-08-18 01:27:35.973859 UTC
12,20241231,1,1,1,1,103759624.239999995,101405119.879999995,102582372.060000002,110580734.219999999,1774521.59,2614738.64,-840217.05,-1514287.32,165,141050.76,2026-08-18 01:27:35.973859 UTC
13,20250131,1,1,1,1,101405119.879999995,103306434.090000004,102355776.980000004,119795795.400000006,1812593.2,2405581.95,-592988.75,2494302.96,165,140739.19,2026-08-18 01:27:35.973859 UTC
14,20250228,1,1,1,1,103306434.090000004,102861819.459999993,103084126.780000001,129010856.590000004,2347104.04,3673536.07,-1326432.03,881817.4,165,141740.67,2026-08-18 01:27:35.973859 UTC
15,20250331,1,1,1,1,102861819.459999993,106013997.420000002,104437908.439999998,138225917.770000011,2340953.84,1061099.85,1279853.99,1872323.98,165,143602.12,2026-08-18 01:27:35.973859 UTC
16,20250430,1,1,1,1,106013997.420000002,105589319.959999993,105801658.689999998,147440978.960000008,1827646.83,1852210.98,-24564.15,-400113.32,165,145477.28,2026-08-18 01:27:35.973859 UTC
17,20250531,1,1,1,1,105589319.959999993,106639244.549999997,106114282.25,156656040.139999986,2037127.31,1891916.81,145210.5,904714.1,165,145907.14,2026-08-18 01:27:35.973859 UTC
18,20250630,1,1,1,1,106639244.549999997,105942431.180000007,106290837.870000005,165871101.330000013,2907574.33,3591436.25,-683861.92,-12951.45,165,146149.9,2026-08-18 01:27:35.973859 UTC
19,20240131,2,1,1,1,93425361.790000007,94891021.840000004,94158191.819999993,6514491.69,2668929.16,1893939.1,774990.05,690670,150,117697.74,2026-08-18 01:27:35.973859 UTC
20,20240229,2,1,1,1,94891021.840000004,93436375.700000003,94163698.769999996,13028983.390000001,2478537.45,1491442.1,987095.35,-2441741.49,150,117704.62,2026-08-18 01:27:35.973859 UTC
21,20240331,2,1,1,1,93436375.700000003,93856475.159999996,93646425.430000007,19543475.079999998,3253372.29,2404160.61,849211.68,-429112.22,150,117058.03,2026-08-18 01:27:35.973859 UTC
22,20240430,2,1,1,1,93856475.159999996,96344847.430000007,95100661.290000007,26057966.77,2964038.31,770077.83,2193960.48,294411.79,150,118875.83,2026-08-18 01:27:35.973859 UTC
23,20240531,2,1,1,1,96344847.430000007,93095417.439999998,94720132.430000007,32572458.469999999,1593437.62,2396846.33,-803408.71,-2446021.28,150,118400.17,2026-08-18 01:27:35.973859 UTC
24,20240630,2,1,1,1,93095417.439999998,92018319.140000001,92556868.290000007,39086950.159999996,1396564.26,2367914.26,-971350,-105748.31,150,115696.09,2026-08-18 01:27:35.973859 UTC
25,20240731,2,1,1,1,92018319.140000001,93274480.189999998,92646399.670000002,45601441.850000001,2997438,941733.94,2055704.06,-799543,150,115808,2026-08-18 01:27:35.973859 UTC
26,20240831,2,1,1,1,93274480.189999998,95965609.629999995,94620044.909999996,52115933.549999997,3058013.92,2293039.02,764974.89,1926154.54,150,118275.06,2026-08-18 01:27:35.973859 UTC
27,20240930,2,1,1,1,95965609.629999995,97001086.920000002,96483348.269999996,58630425.240000002,3504829.58,1807786.28,1697043.31,-661566.02,150,120604.19,2026-08-18 01:27:35.973859 UTC
28,20241031,2,1,1,1,97001086.920000002,98450388.519999996,97725737.719999999,65144916.93,2095185.27,1437878.65,657306.62,791994.98,150,122157.17,2026-08-18 01:27:35.973859 UTC
29,20241130,2,1,1,1,98450388.519999996,103530169.769999996,100990279.150000006,71659408.629999995,3543965.05,1560206.61,1983758.44,3096022.81,150,126237.85,2026-08-18 01:27:35.973859 UTC
30,20241231,2,1,1,1,103530169.769999996,101875971.159999996,102703070.469999999,78173900.319999993,1786489.16,1627823.07,158666.1,-1812864.71,150,128378.84,2026-08-18 01:27:35.973859 UTC
31,20250131,2,1,1,1,101875971.159999996,103698737.269999996,102787354.209999993,84688392.010000005,2861045.03,2274954.17,586090.86,1236675.25,150,128484.19,2026-08-18 01:27:35.973859 UTC
32,20250228,2,1,1,1,103698737.269999996,103960650.579999998,103829693.920000002,91202883.709999993,1474558.65,2929697.85,-1455139.2,1717052.5,150,129787.12,2026-08-18 01:27:35.973859 UTC
33,20250331,2,1,1,1,103960650.579999998,106243221,105101935.790000007,97717375.400000006,3791981.69,1128821.18,2663160.51,-380590.09,150,131377.42,2026-08-18 01:27:35.973859 UTC
34,20250430,2,1,1,1,106243221,104908030.909999996,105575625.959999993,104231867.090000004,1504295.93,1442662.39,61633.54,-1396823.63,150,131969.53,2026-08-18 01:27:35.973859 UTC
35,20250531,2,1,1,1,104908030.909999996,108202046.049999997,106555038.480000004,110746358.790000007,2724590.75,1922520.34,802070.4,2491944.74,150,133193.8,2026-08-18 01:27:35.973859 UTC
36,20250630,2,1,1,1,108202046.049999997,109406624.349999994,108804335.200000003,117260850.480000004,3403949.86,1219293.66,2184656.19,-980077.89,150,136005.42,2026-08-18 01:27:35.973859 UTC
37,20240131,3,1,1,1,65711532.479999997,68140520.310000002,66926026.390000001,8847808.57,1355831.38,667414.71,688416.66,1740571.17,195,108754.79,2026-08-18 01:27:35.973859 UTC
38,20240229,3,1,1,1,68140520.310000002,69229577.629999995,68685048.969999999,17695617.129999999,2325900.16,1151857.52,1174042.65,-84985.33,195,111613.2,2026-08-18 01:27:35.973859 UTC
39,20240331,3,1,1,1,69229577.629999995,70576871.239999995,69903224.430000007,26543425.699999999,2086555.27,861213.38,1225341.9,121951.71,195,113592.74,2026-08-18 01:27:35.973859 UTC
40,20240430,3,1,1,1,70576871.239999995,72644722.099999994,71610796.670000002,35391234.270000003,1791097.34,1181307.19,609790.15,1458060.71,195,116367.54,2026-08-18 01:27:35.973859 UTC
41,20240531,3,1,1,1,72644722.099999994,72175314.420000002,72410018.260000005,44239042.840000004,2136349.64,2300175.75,-163826.11,-305581.57,195,117666.28,2026-08-18 01:27:35.973859 UTC
42,20240630,3,1,1,1,72175314.420000002,73253176.859999999,72714245.640000001,53086851.399999999,1308903.66,1530735.07,-221831.4,1299693.84,195,118160.65,2026-08-18 01:27:35.973859 UTC
43,20240731,3,1,1,1,73253176.859999999,71559449.159999996,72406313.010000005,61934659.969999999,1712623.84,2012408.49,-299784.65,-1393943.06,195,117660.26,2026-08-18 01:27:35.973859 UTC
44,20240831,3,1,1,1,71559449.159999996,70580315.159999996,71069882.159999996,70782468.540000007,1584181.02,2077670.9,-493489.88,-485644.12,195,115488.56,2026-08-18 01:27:35.973859 UTC
45,20240930,3,1,1,1,70580315.159999996,74266391.650000006,72423353.400000006,79630277.109999999,2662734.1,1276865.18,1385868.92,2300207.57,195,117687.95,2026-08-18 01:27:35.973859 UTC
46,20241031,3,1,1,1,74266391.650000006,77030273.700000003,75648332.670000002,88478085.670000002,2876258.87,2113462.08,762796.79,2001085.26,195,122928.54,2026-08-18 01:27:35.973859 UTC
47,20241130,3,1,1,1,77030273.700000003,78133534.010000005,77581903.859999999,97325894.239999995,2685034.86,1677677.86,1007357,95903.31,195,126070.59,2026-08-18 01:27:35.973859 UTC
48,20241231,3,1,1,1,78133534.010000005,79661434.599999994,78897484.310000002,106173702.810000002,1940518.32,1631853.97,308664.34,1219236.24,195,128208.41,2026-08-18 01:27:35.973859 UTC
49,20250131,3,1,1,1,79661434.599999994,77478095.530000001,78569765.060000002,115021511.379999995,1406945.75,1780861.07,-373915.32,-1809423.76,195,127675.87,2026-08-18 01:27:35.973859 UTC
50,20250228,3,1,1,1,77478095.530000001,79263931.560000002,78371013.540000007,123869319.939999998,1989450.6,1132654.25,856796.35,929039.68,195,127352.9,2026-08-18 01:27:35.973859 UTC
51,20250331,3,1,1,1,79263931.560000002,78063781.25,78663856.400000006,132717128.510000005,1925731.17,2698097.58,-772366.4,-427783.91,195,127828.77,2026-08-18 01:27:35.973859 UTC
52,20250430,3,1,1,1,78063781.25,77104366.040000007,77584073.640000001,141564937.080000013,1906408.67,2561071.84,-654663.17,-304752.04,195,126074.12,2026-08-18 01:27:35.973859 UTC
53,20250531,3,1,1,1,77104366.040000007,78814323.969999999,77959345,150412745.650000006,955676.06,1764532.85,-808856.79,2518814.72,195,126683.94,2026-08-18 01:27:35.973859 UTC
54,20250630,3,1,1,1,78814323.969999999,78822416.700000003,78818370.329999998,159260554.210000008,1218149.47,1838772.07,-620622.6,628715.33,195,128079.85,2026-08-18 01:27:35.973859 UTC
55,20240131,5,1,1,1,58641499.560000002,58364751.280000001,58503125.420000002,9155530.689999999,950084.34,1528825.49,-578741.15,301992.87,135,65816.02,2026-08-18 01:27:35.973859 UTC
56,20240229,5,1,1,1,58364751.280000001,59248582.259999998,58806666.770000003,18311061.390000001,1944914.49,683099.44,1261815.05,-377984.07,135,66157.5,2026-08-18 01:27:35.973859 UTC
57,20240331,5,1,1,1,59248582.259999998,59144867.259999998,59196724.759999998,27466592.079999998,719354.3,503978.78,215375.52,-319090.52,135,66596.32,2026-08-18 01:27:35.973859 UTC
58,20240430,5,1,1,1,59144867.259999998,60689543.539999999,59917205.399999999,36622122.770000003,2063594.87,972385.97,1091208.9,453467.37,135,67406.86,2026-08-18 01:27:35.973859 UTC
59,20240531,5,1,1,1,60689543.539999999,61679958.740000002,61184751.140000001,45777653.469999999,1803513.93,1171895.29,631618.64,358796.56,135,68832.85,2026-08-18 01:27:35.973859 UTC
60,20240630,5,1,1,1,61679958.740000002,62683113.009999998,62181535.880000003,54933184.159999996,2443925.44,1284777.73,1159147.71,-155993.44,135,69954.23,2026-08-18 01:27:35.973859 UTC
61,20240731,5,1,1,1,62683113.009999998,61764506.549999997,62223809.780000001,64088714.859999999,837587.87,1897579.19,-1059991.32,141384.86,135,70001.79,2026-08-18 01:27:35.973859 UTC
62,20240831,5,1,1,1,61764506.549999997,61947344.149999999,61855925.350000001,73244245.549999997,2118657.18,1566863.63,551793.55,-368955.95,135,69587.92,2026-08-18 01:27:35.973859 UTC
63,20240930,5,1,1,1,61947344.149999999,61834622.18,61890983.159999996,82399776.239999995,1514220.22,1250067.1,264153.12,-376875.1,135,69627.36,2026-08-18 01:27:35.973859 UTC
64,20241031,5,1,1,1,61834622.18,62865904.979999997,62350263.579999998,91555306.939999998,2020268.38,929931.33,1090337.05,-59054.25,135,70144.05,2026-08-18 01:27:35.973859 UTC
65,20241130,5,1,1,1,62865904.979999997,64958381.960000001,63912143.469999999,100710837.629999995,2331348.87,689209.74,1642139.12,450337.86,135,71901.16,2026-08-18 01:27:35.973859 UTC
66,20241231,5,1,1,1,64958381.960000001,65137713.259999998,65048047.609999999,109866368.319999993,993814.58,875900.39,117914.19,61417.11,135,73179.05,2026-08-18 01:27:35.973859 UTC
67,20250131,5,1,1,1,65137713.259999998,66411842.549999997,65774777.909999996,119021899.019999996,1604627.06,547957.57,1056669.49,217459.8,135,73996.63,2026-08-18 01:27:35.973859 UTC
68,20250228,5,1,1,1,66411842.549999997,66624586.859999999,66518214.700000003,128177429.709999993,1468683.02,971753.02,496930.01,-284185.7,135,74832.99,2026-08-18 01:27:35.973859 UTC
69,20250331,5,1,1,1,66624586.859999999,66614322.689999998,66619454.770000003,137332960.409999996,1384192.7,1898634.91,-514442.21,504178.05,135,74946.89,2026-08-18 01:27:35.973859 UTC
70,20250430,5,1,1,1,66614322.689999998,67535796.510000005,67075059.600000001,146488491.099999994,2155384.67,1717176.13,438208.54,483265.28,135,75459.44,2026-08-18 01:27:35.973859 UTC
71,20250531,5,1,1,1,67535796.510000005,68447543.030000001,67991669.769999996,155644021.789999992,2080748.53,1509995.22,570753.31,340993.21,135,76490.63,2026-08-18 01:27:35.973859 UTC
72,20250630,5,1,1,1,68447543.030000001,69137758.189999998,68792650.609999999,164799552.49000001,1561546.92,1400364.78,161182.14,529033.02,135,77391.73,2026-08-18 01:27:35.973859 UTC
73,20240131,6,1,1,1,58046208.840000004,57849816.509999998,57948012.68,9476823.640000001,1648163,1596638.39,51524.61,-247916.94,130,62777.01,2026-08-18 01:27:35.973859 UTC
74,20240229,6,1,1,1,57849816.509999998,58768853.619999997,58309335.07,18953647.27,1445405.63,1273715.5,171690.12,747346.99,130,63168.45,2026-08-18 01:27:35.973859 UTC
75,20240331,6,1,1,1,58768853.619999997,59534043.390000001,59151448.509999998,28430470.91,1942155.05,1581417.52,360737.53,404452.24,130,64080.74,2026-08-18 01:27:35.973859 UTC
76,20240430,6,1,1,1,59534043.390000001,60137363.210000001,59835703.299999997,37907294.549999997,1413174.07,1726342.24,-313168.17,916488,130,64822.01,2026-08-18 01:27:35.973859 UTC
77,20240531,6,1,1,1,60137363.210000001,61447200.460000001,60792281.840000004,47384118.18,1254197.4,570692.02,683505.38,626331.87,130,65858.31,2026-08-18 01:27:35.973859 UTC
78,20240630,6,1,1,1,61447200.460000001,60054505.32,60750852.890000001,56860941.82,1125724.84,1983792.26,-858067.42,-534627.72,130,65813.42,2026-08-18 01:27:35.973859 UTC
79,20240731,6,1,1,1,60054505.32,60058927.829999998,60056716.579999998,66337765.460000001,1452837.61,1832925.37,-380087.76,384510.27,130,65061.44,2026-08-18 01:27:35.973859 UTC
80,20240831,6,1,1,1,60058927.829999998,60259481.850000001,60159204.840000004,75814589.090000004,1257751.55,1293041.01,-35289.46,235843.48,130,65172.47,2026-08-18 01:27:35.973859 UTC
81,20240930,6,1,1,1,60259481.850000001,60289921.100000001,60274701.469999999,85291412.730000004,1480932.97,2155511.68,-674578.71,705017.96,130,65297.59,2026-08-18 01:27:35.973859 UTC
82,20241031,6,1,1,1,60289921.100000001,59555816.539999999,59922868.82,94768236.370000005,663525.56,1718025.5,-1054499.94,320395.39,130,64916.44,2026-08-18 01:27:35.973859 UTC
83,20241130,6,1,1,1,59555816.539999999,57702530.119999997,58629173.329999998,104245060,900317.7,1981133.42,-1080815.73,-772470.7,130,63514.94,2026-08-18 01:27:35.973859 UTC
84,20241231,6,1,1,1,57702530.119999997,56748030.270000003,57225280.189999998,113721883.640000001,1724179.26,1978235.95,-254056.68,-700443.16,130,61994.05,2026-08-18 01:27:35.973859 UTC
85,20250131,6,1,1,1,56748030.270000003,57127344.829999998,56937687.549999997,123198707.269999996,1778640.61,1449427.41,329213.19,50101.37,130,61682.49,2026-08-18 01:27:35.973859 UTC
86,20250228,6,1,1,1,57127344.829999998,56007294.369999997,56567319.600000001,132675530.909999996,714682.1,1949112.83,-1234430.72,114380.26,130,61281.26,2026-08-18 01:27:35.973859 UTC
87,20250331,6,1,1,1,56007294.369999997,55336095.880000003,55671695.119999997,142152354.550000012,784916.74,815996.01,-31079.27,-640119.22,130,60311,2026-08-18 01:27:35.973859 UTC
88,20250430,6,1,1,1,55336095.880000003,55541130.799999997,55438613.340000004,151629178.180000007,983309.33,445017.4,538291.93,-333257.02,130,60058.5,2026-08-18 01:27:35.973859 UTC
89,20250531,6,1,1,1,55541130.799999997,55367959.719999999,55454545.259999998,161106001.819999993,901976.38,1123043.94,-221067.56,47896.49,130,60075.76,2026-08-18 01:27:35.973859 UTC
90,20250630,6,1,1,1,55367959.719999999,54594093.799999997,54981026.759999998,170582825.460000008,795638.52,954998.67,-159360.15,-614505.78,130,59562.78,2026-08-18 01:27:35.973859 UTC
91,20240131,7,1,1,1,41928655.579999998,41409401.939999998,41669028.759999998,5811176.01,559444.86,556730.12,2714.73,-521968.38,105,36460.4,2026-08-18 01:27:35.973859 UTC
92,20240229,7,1,1,1,41409401.939999998,42173563.710000001,41791482.82,11622352.02,761877.07,607014.77,154862.31,609299.46,105,36567.55,2026-08-18 01:27:35.973859 UTC
93,20240331,7,1,1,1,42173563.710000001,41968740.280000001,42071151.990000002,17433528.030000001,848846.02,925738.62,-76892.6,-127930.83,105,36812.26,2026-08-18 01:27:35.973859 UTC
94,20240430,7,1,1,1,41968740.280000001,42995461.280000001,42482100.780000001,23244704.039999999,1669753.42,1222044.03,447709.39,579011.61,105,37171.84,2026-08-18 01:27:35.973859 UTC
95,20240531,7,1,1,1,42995461.280000001,43585659.789999999,43290560.530000001,29055880.059999999,689376.24,697157.68,-7781.44,597979.95,105,37879.24,2026-08-18 01:27:35.973859 UTC
96,20240630,7,1,1,1,43585659.789999999,44403836.119999997,43994747.950000003,34867056.07,917413.87,537627.58,379786.29,438390.04,105,38495.4,2026-08-18 01:27:35.973859 UTC
97,20240731,7,1,1,1,44403836.119999997,43540378.32,43972107.219999999,40678232.079999998,749109.31,1287768.25,-538658.94,-324798.86,105,38475.59,2026-08-18 01:27:35.973859 UTC
98,20240831,7,1,1,1,43540378.32,43664619.079999998,43602498.700000003,46489408.090000004,990210.23,803863.02,186347.22,-62106.46,105,38152.19,2026-08-18 01:27:35.973859 UTC
99,20240930,7,1,1,1,43664619.079999998,44477619.159999996,44071119.119999997,52300584.100000001,677145.27,541611.18,135534.09,677466,105,38562.23,2026-08-18 01:27:35.973859 UTC
100,20241031,7,1,1,1,44477619.159999996,44432420.659999996,44455019.909999996,58111760.109999999,1014956.19,1240944.16,-225987.97,180789.47,105,38898.14,2026-08-18 01:27:35.973859 UTC
101,20241130,7,1,1,1,44432420.659999996,44177777.780000001,44305099.219999999,63922936.119999997,1170222.76,1509646.65,-339423.89,84781.01,105,38766.96,2026-08-18 01:27:35.973859 UTC
102,20241231,7,1,1,1,44177777.780000001,43556396.57,43867087.18,69734112.129999995,1097745,1507443.95,-409698.95,-211682.26,105,38383.7,2026-08-18 01:27:35.973859 UTC
103,20250131,7,1,1,1,43556396.57,43112234.329999998,43334315.450000003,75545288.140000001,1127525.19,1532712.52,-405187.33,-38974.91,105,37917.53,2026-08-18 01:27:35.973859 UTC
104,20250228,7,1,1,1,43112234.329999998,42267900.579999998,42690067.450000003,81356464.159999996,446013.65,1544273.16,-1098259.52,253925.77,105,37353.81,2026-08-18 01:27:35.973859 UTC
105,20250331,7,1,1,1,42267900.579999998,41342446.759999998,41805173.670000002,87167640.170000002,546520.16,1242000.81,-695480.64,-229973.18,105,36579.53,2026-08-18 01:27:35.973859 UTC
106,20250430,7,1,1,1,41342446.759999998,40938031.700000003,41140239.229999997,92978816.180000007,440128.83,1382495.56,-942366.73,537951.68,105,35997.71,2026-08-18 01:27:35.973859 UTC
107,20250531,7,1,1,1,40938031.700000003,40338987.969999999,40638509.840000004,98789992.189999998,1015852.14,1067055.08,-51202.95,-547840.78,105,35558.7,2026-08-18 01:27:35.973859 UTC
108,20250630,7,1,1,1,40338987.969999999,39548919.619999997,39943953.799999997,104601168.200000003,546924.01,1296847.79,-749923.78,-40144.58,105,34950.96,2026-08-18 01:27:35.973859 UTC
109,20240131,8,1,1,1,99704603.010000005,99953253.230000004,99828928.120000005,9147088.48,1293810.22,1062990.4,230819.82,17830.4,35,29116.77,2026-08-18 01:27:35.973859 UTC
110,20240229,8,1,1,1,99953253.230000004,97793003.719999999,98873128.480000004,18294176.949999999,1422207.89,3562004.89,-2139796.99,-20452.51,35,28838,2026-08-18 01:27:35.973859 UTC
111,20240331,8,1,1,1,97793003.719999999,98913590.739999995,98353297.230000004,27441265.43,3721731.89,2634157.37,1087574.52,33012.49,35,28686.38,2026-08-18 01:27:35.973859 UTC
112,20240430,8,1,1,1,98913590.739999995,99028456.879999995,98971023.810000002,36588353.909999996,1288546.59,1220497.21,68049.37,46816.77,35,28866.55,2026-08-18 01:27:35.973859 UTC
113,20240531,8,1,1,1,99028456.879999995,96813367.280000001,97920912.079999998,45735442.380000003,1153325.53,3382427.19,-2229101.66,14012.07,35,28560.27,2026-08-18 01:27:35.973859 UTC
114,20240630,8,1,1,1,96813367.280000001,97143399.200000003,96978383.239999995,54882530.859999999,2288456.35,1920661.84,367794.51,-37762.59,35,28285.36,2026-08-18 01:27:35.973859 UTC
115,20240731,8,1,1,1,97143399.200000003,96441309.560000002,96792354.379999995,64029619.340000004,2529560.17,3258343.38,-728783.2,26693.56,35,28231.1,2026-08-18 01:27:35.973859 UTC
116,20240831,8,1,1,1,96441309.560000002,97889821.200000003,97165565.379999995,73176707.819999993,2375858.64,912906.61,1462952.02,-14440.38,35,28339.96,2026-08-18 01:27:35.973859 UTC
117,20240930,8,1,1,1,97889821.200000003,100717208.890000001,99303515.049999997,82323796.290000007,3709550.89,913016.85,2796534.04,30853.64,35,28963.53,2026-08-18 01:27:35.973859 UTC
118,20241031,8,1,1,1,100717208.890000001,100928389.290000007,100822799.090000004,91470884.769999996,1742016.99,1565707.96,176309.03,34871.37,35,29406.65,2026-08-18 01:27:35.973859 UTC
119,20241130,8,1,1,1,100928389.290000007,101905948.060000002,101417168.680000007,100617973.25,3387771.07,2368289.66,1019481.41,-41922.63,35,29580.01,2026-08-18 01:27:35.973859 UTC
120,20241231,8,1,1,1,101905948.060000002,103695701.239999995,102800824.650000006,109765061.719999999,3083952.88,1293030.59,1790922.28,-1169.11,35,29983.57,2026-08-18 01:27:35.973859 UTC
121,20250131,8,1,1,1,103695701.239999995,105253803.450000003,104474752.349999994,118912150.200000003,3154166.99,1573954.31,1580212.68,-22110.47,35,30471.8,2026-08-18 01:27:35.973859 UTC
122,20250228,8,1,1,1,105253803.450000003,106642564.739999995,105948184.090000004,128059238.680000007,3512556.77,2138446.03,1374110.74,14650.54,35,30901.55,2026-08-18 01:27:35.973859 UTC
123,20250331,8,1,1,1,106642564.739999995,107283043.739999995,106962804.239999995,137206327.150000006,3573105.91,2904748.48,668357.43,-27878.43,35,31197.48,2026-08-18 01:27:35.973859 UTC
124,20250430,8,1,1,1,107283043.739999995,105273727.680000007,106278385.709999993,146353415.629999995,1790626.05,3795897.18,-2005271.13,-4044.93,35,30997.86,2026-08-18 01:27:35.973859 UTC
125,20250531,8,1,1,1,105273727.680000007,108300411.129999995,106787069.400000006,155500504.110000014,4190409.7,1112596.99,3077812.71,-51129.26,35,31146.23,2026-08-18 01:27:35.973859 UTC
126,20250630,8,1,1,1,108300411.129999995,109587588.719999999,108943999.920000002,164647592.590000004,4252591.88,2999638.85,1252953.03,34224.56,35,31775.33,2026-08-18 01:27:35.973859 UTC
127,20240131,10,1,1,1,46314407.799999997,46349307.240000002,46331857.520000003,9581186.91,531249.12,665594.4,-134345.28,169244.72,80,30887.91,2026-08-18 01:27:35.973859 UTC
128,20240229,10,1,1,1,46349307.240000002,47162489.439999998,46755898.340000004,19162373.82,1818488.73,1339671.68,478817.06,334365.15,80,31170.6,2026-08-18 01:27:35.973859 UTC
129,20240331,10,1,1,1,47162489.439999998,47277844.020000003,47220166.729999997,28743560.73,1239885.34,787656.6,452228.74,-336874.16,80,31480.11,2026-08-18 01:27:35.973859 UTC
130,20240430,10,1,1,1,47277844.020000003,47356444.25,47317144.140000001,38324747.640000001,1068468.61,910496.36,157972.25,-79372.03,80,31544.76,2026-08-18 01:27:35.973859 UTC
131,20240531,10,1,1,1,47356444.25,46878528.039999999,47117486.140000001,47905934.549999997,1360093.79,1685987.32,-325893.53,-152022.68,80,31411.66,2026-08-18 01:27:35.973859 UTC
132,20240630,10,1,1,1,46878528.039999999,47861843.200000003,47370185.619999997,57487121.460000001,1086189.58,420415.77,665773.8,317541.36,80,31580.12,2026-08-18 01:27:35.973859 UTC
133,20240731,10,1,1,1,47861843.200000003,47945844.020000003,47903843.609999999,67068308.369999997,813017.05,875599.03,-62581.98,146582.79,80,31935.9,2026-08-18 01:27:35.973859 UTC
134,20240831,10,1,1,1,47945844.020000003,48986487.969999999,48466165.990000002,76649495.280000001,1791377.35,803811.87,987565.47,53078.48,80,32310.78,2026-08-18 01:27:35.973859 UTC
135,20240930,10,1,1,1,48986487.969999999,49626491.890000001,49306489.93,86230682.189999998,1194582.39,453831.34,740751.04,-100747.12,80,32870.99,2026-08-18 01:27:35.973859 UTC
136,20241031,10,1,1,1,49626491.890000001,48874526.880000003,49250509.380000003,95811869.099999994,783834.9,1222576.41,-438741.51,-313223.51,80,32833.67,2026-08-18 01:27:35.973859 UTC
137,20241130,10,1,1,1,48874526.880000003,48900675.710000001,48887601.289999999,105393056.010000005,1485912.16,1195275.68,290636.48,-264487.65,80,32591.73,2026-08-18 01:27:35.973859 UTC
138,20241231,10,1,1,1,48900675.710000001,48798191.030000001,48849433.369999997,114974242.920000002,1349013.75,1156924.5,192089.24,-294573.92,80,32566.29,2026-08-18 01:27:35.973859 UTC
139,20250131,10,1,1,1,48798191.030000001,49607445.530000001,49202818.280000001,124555429.829999998,1755713.98,719389.79,1036324.19,-227069.68,80,32801.88,2026-08-18 01:27:35.973859 UTC
140,20250228,10,1,1,1,49607445.530000001,49439937.170000002,49523691.350000001,134136616.739999995,1561005.21,1619242.39,-58237.18,-109271.18,80,33015.79,2026-08-18 01:27:35.973859 UTC
141,20250331,10,1,1,1,49439937.170000002,50384436.890000001,49912187.030000001,143717803.659999996,1634217.1,560834.97,1073382.13,-128882.41,80,33274.79,2026-08-18 01:27:35.973859 UTC
142,20250430,10,1,1,1,50384436.890000001,50905344.340000004,50644890.609999999,153298990.569999993,1380947.44,1046594.69,334352.75,186554.7,80,33763.26,2026-08-18 01:27:35.973859 UTC
143,20250531,10,1,1,1,50905344.340000004,50550238.18,50727791.259999998,162880177.479999989,528498.32,1272629.13,-744130.81,389024.66,80,33818.53,2026-08-18 01:27:35.973859 UTC
144,20250630,10,1,1,1,50550238.18,50879761.509999998,50714999.850000001,172461364.389999986,1644179.42,1586443.49,57735.94,271787.39,80,33810,2026-08-18 01:27:35.973859 UTC
